State,City,Avg In Snow / Year
New York,"Brookhaven, Long Island",31.9
New York,"New York City, Brooklyn",22.7
New York,"New York City, Central Park",25.1
New York,New York JFK Airport,23.8
New York,New York La Guardia Airport,26.9
New York,White Plains,27.7
New York,Albany,59.1
New York,Poughkeepsie,32.8
New York,Saratoga Springs,63.4
New York,Slide Mountain (2650 feet),94.5
New York,Glens Falls,68
New York,Lake Placid,103
New York,Massena,69.4
New York,Old Forge,177.3
New York,Watertown,112.1
New York,Binghamton,83.4
New York,Elmira,37.9
New York,Ithaca,64.4
New York,Syracuse,123.8
New York,Utica,88.3
New York,Buffalo,94.7
New York,Jamestown,97.5
New York,Niagara Falls,76.1
New York,Rochester,99.5
New Mexico,Alamogordo,3.9
New Mexico,Bitter Lake Wildlife Refuge,5.2
New Mexico,Carlsbad,2.4
New Mexico,Carlsbad Caverns National Park,3.9
New Mexico,Cuba,29.8
New Mexico,Elephant Butte Lake Dam,0.8
New Mexico,Gila Hot Springs,5.7
New Mexico,Hobbs,4
New Mexico,Roswell,11.9
New Mexico,Ruidoso,29.9
New Mexico,White Sands National Monument,2.3
New Mexico,Albuquerque,9.6
New Mexico,Clovis,13.8
New Mexico,Conchas Lake Dam,12
New Mexico,El Morro National Monument,47.2
New Mexico,Gallup,33.7
New Mexico,Gran Quivira National Monument,11.1
New Mexico,Grants,9.3
New Mexico,Las Vegas,39.9
New Mexico,Pecos National Monument,23
New Mexico,Santa Fe,23
New Mexico,Socorro,5.7
New Mexico,Tucumcari,19.9
New Mexico,Abiquiu Lake Dam,9.8
New Mexico,Aztec Ruins National Monument,14.1
New Mexico,Chaco Canyon National Monument,12.5
New Mexico,Clayton,28
New Mexico,Eagle Nest,67.8
New Mexico,El Vado Lake Dam,43.1
New Mexico,Farmington,13
New Mexico,Lake Maloya (Sugarite Canyon Park),99.9
New Mexico,Raton,30.1
New Mexico,Red River,159.5
New Mexico,Taos,32.3
New Jersey,Hightstown,22.7
New Jersey,Lambertville,18.5
New Jersey,Newark & Elizabeth,28.6
New Jersey,New Brunswick,28.4
New Jersey,Plainfield,22.8
New Jersey,Somerville,27.6
New Jersey,Wanaque Reservoir Dam,19.4
New Jersey,Atlantic City,16.5
New Jersey,"Beach Haven, Brant Beach",8.1
New Jersey,Belleplain State Forest,9.2
New Jersey,Cape May,14.9
New Jersey,Millville,12.6
New Jersey,Moorestown,1.9
New Hampshire,Concord,60.8
New Hampshire,Durham,44.7
New Hampshire,Keene,54.6
New Hampshire,Laconia & Lakeport,56.1
New Hampshire,Nashua,54.9
New Hampshire,Portsmouth & Greenland,59.9
New Hampshire,Berlin,78.3
New Hampshire,Bethlehem,101.1
New Hampshire,Colebrook,80.3
New Hampshire,First Connecticut Lake,141
New Hampshire,Mount Washington,281.2
New Hampshire,North Conway,80
New Hampshire,Pinkham Notch,126.1
New Hampshire,Plymouth,69.7
New Hampshire,Tamworth,77.6
Nevada,Boulder City,0
Nevada,"Callville Bay, Lake Mead",0
Nevada,Las Vegas,0.3
Nevada,Laughlin,0
Nevada,North Las Vegas,0
Nevada,Red Rock Canyon State Park,2.9
Nevada,Valley of Fire State Park,0.4
Nevada,Carson City,10.3
Nevada,Reno,21.8
Nevada,Virginia City,51.6
Nevada,Caliente,8.4
Nevada,Ely,50.7
Nevada,Eureka,28.6
Nevada,Great Basin National Park,70
Nevada,Spring Valley State Park,26.6
Nevada,Tonopah,17.3
