RegionID,RegionName,State,Metro,CountyName,SizeRank,2018-03
18073,Fargo,North Dakota,Fargo,Cass,295,227996
11267,Edison,New Jersey,New York,Middlesex,296,371653
14542,West Covina,California,Los Angeles-Long Beach-Anaheim,Los Angeles,297,560840
3975,Carlsbad,California,San Diego,San Diego,298,849927
41446,Vacaville,California,Vallejo,Solano,299,444505
17133,Bowling Green,Kentucky,Bowling Green,Warren,300,173056
39420,Lewisville,Texas,Dallas-Fort Worth,Denton,301,258253
30381,Beaverton,Oregon,Portland,Washington,302,372485
26900,Saint Augustine,Florida,Jacksonville,Saint Johns,303,248495
7858,West Palm Beach,Florida,Miami-Fort Lauderdale,Palm Beach,304,225337
10918,Columbia,Missouri,Columbia,Boone,305,176431
11335,Erie,Pennsylvania,Erie,Erie,306,77292
44506,Cedar Rapids,Iowa,Cedar Rapids,Linn,307,131269
45548,Green Bay,Wisconsin,Green Bay,Brown,308,130919
18053,Fairfield,California,Vallejo,Solano,309,445400
32629,Madera,California,Madera,Madera,310,225545
13699,San Mateo,California,San Francisco,San Mateo,311,1460823
25855,Merced,California,Merced,Merced,312,234780
31163,Daly City,California,San Francisco,San Mateo,313,983177
13256,Perris,California,Riverside,Riverside,314,307538
32542,Livonia,Michigan,Detroit,Wayne,315,197300
13698,San Leandro,California,San Francisco,Alameda,316,668464
47762,South Gate,California,Los Angeles-Long Beach-Anaheim,Los Angeles,317,431181
13709,Sandy Springs,Georgia,Atlanta,Fulton,318,477500
399214, Greece,New York,Rochester,Monroe,319,134466
37074,Albany,New York,Albany,Albany,320,181476
54121,Richardson,Texas,Dallas-Fort Worth,Dallas,321,296478
53978,Portsmouth,Virginia,Virginia Beach,Portsmouth City,322,149182
35593,Laurel,Maryland,Washington,Prince Georges,323,319861
6334,Orange Park,Florida,Jacksonville,Clay,324,182100
7680,Vero Beach,Florida,Vero Beach,Indian River,325,198963
27219,Spring Hill,Florida,Tampa,Hernando,326,151241
51757,Duluth,Georgia,Atlanta,Gwinnett,327,235145
11049,Davie,Florida,Miami-Fort Lauderdale,Broward,328,321459
41629,West Chester,Pennsylvania,Philadelphia,Chester,329,401278
10917,Columbia,Maryland,Baltimore,Howard,330,344921
40013,Newton,Massachusetts,Boston,Middlesex,331,1022716
16701,Albany,Georgia,Albany,Dougherty,332,81791
25483,Lakeland,Florida,Lakeland,Polk,333,154288
32452,Lawrence,Kansas,Lawrence,Douglas,334,191758
5595,Lehigh Acres,Florida,Fort Myers,Lee,335,159538
6112,Napa,California,Napa,Napa,336,653967
12773,Mission Viejo,California,Los Angeles-Long Beach-Anaheim,Orange,337,732076
13715,Santa Cruz,California,Santa Cruz,Santa Cruz,338,913912
395471,Lakewood,New Jersey,New York,Ocean,339,325430
16780,Antioch,California,San Francisco,Contra Costa,340,438390
44515,Centennial,Colorado,Denver,Arapahoe,341,447895
6790,Riverview,Florida,Tampa,Hillsborough,342,216036
39220,Kenosha,Wisconsin,Chicago,Kenosha,343,143511
10181,Arvada,Colorado,Denver,Jefferson,344,402667
46183,Lawton,Oklahoma,Lawton,Comanche,345,70662
16773,Annapolis,Maryland,Baltimore,Anne Arundel,346,414771
33645,Rialto,California,Riverside,San Bernardino,347,344328
45878,Indio,California,Riverside,Riverside,348,293956
38992,Highlands Ranch,Colorado,Denver,Douglas,349,470146
33058,New Bedford,Massachusetts,Providence,Bristol,350,227123
45255,Federal Way,Washington,Seattle,King,351,374832
11914,Hillsboro,Oregon,Portland,Washington,352,361484
6932,Sandy,Utah,Salt Lake City,Salt Lake,353,392689
4042,Champaign,Illinois,Champaign-Urbana,Champaign,354,138099
397569,Bethlehem,Pennsylvania,Allentown,Northampton,355,266523
11695,Greeley,Colorado,Greeley,Weld,356,270178
